Gene Symbol	Gene ID	Number of occurrences	Features	HPO IDs	HPO Match Score
MMP1	ENSG00000196611	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
MMP23B	ENSG00000189409	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
MOGS	ENSG00000115275	1	Bone fracture (0.7)	HP:0020110	0.7
MT-TL2	ENSG00000210191	1	Flushing (0.85)	HP:0031284	0.85
MTX2	ENSG00000128654	1	Mitral valve calcification (0.85)	HP:0004382	0.85
MYH3	ENSG00000109063	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
MYH6	ENSG00000197616	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
MYL2	ENSG00000111245	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
NEDD4L	ENSG00000049759	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
NELFA	ENSG00000185049	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
NF1	ENSG00000196712	1	Flushing (0.85)	HP:0031284	0.85
NFKB2	ENSG00000077150	1	Recurrent viral infections (0.85)	HP:0004429	0.85
NHEJ1	ENSG00000187736	1	Recurrent viral infections (0.85)	HP:0004429	0.85
NKX2-5	ENSG00000183072	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
NPRL2	ENSG00000114388	1	Flushing (0.85)	HP:0031284	0.85
NPRL3	ENSG00000103148	1	Flushing (0.85)	HP:0031284	0.85
NR3C1	ENSG00000113580	1	Flushing (0.85)	HP:0031284	0.85
NSD1	ENSG00000165671	1	Flushing (0.85)	HP:0031284	0.85
NSD2	ENSG00000109685	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
NTRK2	ENSG00000148053	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
PAX9	ENSG00000198807	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
PDE4D	ENSG00000113448	1	Abnormal morphology of the radius (0.85)	HP:0002818	0.85
PDPN	ENSG00000162493	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
PFN1	ENSG00000108518	1	Bone fracture (0.7)	HP:0020110	0.7
